id,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
96,25,66,31,Clayey,Sugarcane,38,9,35,20-20
97,27,62,56,Sandy,Ground Nuts,11,10,14,14-35-14
98,37,69,64,Clayey,Cotton,29,5,28,17-17-17
99,33,56,47,Clayey,Ground Nuts,32,13,27,28-28
100,30,72,26,Clayey,Barley,19,9,40,10-26-26
101,31,61,45,Clayey,Wheat,9,7,29,20-20
102,33,69,64,Clayey,Paddy,41,7,26,28-28
103,28,58,64,Red,Wheat,13,0,28,20-20
104,27,68,44,Sandy,Ground Nuts,38,0,23,20-20
105,34,57,42,Red,Paddy,34,0,31,14-35-14
106,32,50,55,Clayey,Cotton,16,11,6,17-17-17
107,26,55,28,Sandy,Paddy,21,3,20,28-28
108,26,63,58,Red,Millets,5,18,34,28-28
109,27,58,56,Black,Sugarcane,18,14,6,20-20
110,28,61,41,Black,Tobacco,40,1,5,Urea
111,30,63,40,Sandy,Maize,28,17,25,Urea
112,29,62,28,Loamy,Pulses,6,15,4,Urea
113,28,68,26,Sandy,Cotton,31,12,39,14-35-14
114,36,52,35,Sandy,Sugarcane,30,5,31,28-28
115,26,66,26,Clayey,Ground Nuts,22,12,15,14-35-14
116,34,61,39,Loamy,Barley,26,13,42,17-17-17
117,29,68,45,Sandy,Pulses,41,0,22,17-17-17
118,28,72,39,Black,Barley,22,8,33,14-35-14
119,32,64,52,Loamy,Pulses,28,11,31,14-35-14
120,27,53,27,Black,Sugarcane,22,11,28,14-35-14
121,25,67,53,Black,Paddy,7,17,13,Urea
122,27,56,32,Black,Maize,18,2,30,DAP
123,37,70,48,Black,Cotton,12,14,25,20-20
124,26,71,25,Clayey,Oil seeds,24,13,7,14-35-14
125,34,53,56,Black,Oil seeds,4,15,31,28-28
126,26,72,41,Red,Pulses,37,12,3,DAP
127,32,65,61,Black,Pulses,32,0,9,14-35-14
128,34,52,34,Black,Cotton,5,18,4,28-28
129,31,72,59,Sandy,Tobacco,15,16,6,20-20
130,35,54,54,Sandy,Cotton,33,15,10,28-28
131,28,65,53,Red,Wheat,19,19,35,20-20
132,25,70,27,Clayey,Cotton,22,16,36,10-26-26
133,35,61,47,Black,Sugarcane,28,11,29,14-35-14
134,29,64,62,Loamy,Wheat,19,12,21,14-35-14
135,37,50,34,Loamy,Tobacco,14,7,32,20-20
136,30,63,37,Loamy,Barley,36,1,30,14-35-14
137,27,59,28,Loamy,Tobacco,30,0,1,17-17-17
138,26,68,58,Clayey,Ground Nuts,10,18,31,Urea
139,32,57,57,Black,Pulses,33,8,22,14-35-14
140,30,50,47,Sandy,Maize,32,5,4,14-35-14
141,28,61,36,Loamy,Tobacco,37,12,8,20-20
142,29,68,51,Loamy,Ground Nuts,33,5,32,17-17-17
143,27,57,37,Black,Barley,20,7,26,10-26-26
144,25,60,55,Loamy,Maize,19,8,7,20-20
145,32,58,47,Sandy,Tobacco,36,12,7,20-20
146,30,69,53,Sandy,Cotton,28,13,15,28-28
147,34,65,54,Red,Oil seeds,23,1,2,Urea
148,32,61,60,Red,Maize,41,16,34,10-26-26
149,26,60,56,Sandy,Tobacco,5,6,3,17-17-17
150,29,69,54,Red,Sugarcane,26,14,22,28-28
151,27,69,52,Sandy,Paddy,30,14,33,28-28
152,36,71,28,Clayey,Maize,37,13,14,28-28
153,27,70,56,Black,Ground Nuts,5,0,20,DAP
154,38,61,60,Clayey,Wheat,38,10,31,28-28
155,30,51,35,Loamy,Barley,37,7,18,Urea
156,31,64,45,Sandy,Wheat,27,9,38,DAP
157,25,72,27,Red,Millets,38,4,21,Urea
158,28,57,63,Sandy,Cotton,40,8,37,14-35-14
159,25,55,53,Sandy,Sugarcane,27,4,28,28-28
160,25,69,62,Red,Millets,32,17,24,DAP
161,35,66,61,Clayey,Barley,17,5,41,14-35-14
162,28,62,42,Sandy,Paddy,36,5,24,17-17-17
163,28,68,43,Loamy,Paddy,42,3,41,20-20
164,29,58,32,Black,Ground Nuts,41,3,4,17-17-17
165,35,55,26,Sandy,Ground Nuts,33,2,31,28-28
166,36,61,37,Clayey,Pulses,9,11,4,17-17-17
167,28,70,27,Clayey,Paddy,8,18,27,28-28
168,28,51,44,Loamy,Tobacco,14,2,18,28-28
169,29,71,51,Loamy,Ground Nuts,11,11,15,17-17-17
170,33,57,51,Black,Ground Nuts,33,10,17,10-26-26
171,36,66,64,Clayey,Pulses,18,6,11,10-26-26
172,26,58,60,Black,Barley,9,5,3,14-35-14
173,37,60,62,Loamy,Paddy,41,14,12,28-28
174,32,63,38,Sandy,Maize,36,4,24,10-26-26
175,31,58,46,Loamy,Cotton,38,8,40,17-17-17
176,29,66,25,Red,Barley,22,7,29,28-28
177,28,56,57,Clayey,Cotton,14,0,39,DAP
178,32,70,42,Red,Maize,27,12,23,20-20
179,28,56,36,Black,Ground Nuts,22,6,27,20-20
180,30,50,43,Clayey,Wheat,17,11,19,17-17-17
181,35,68,47,Loamy,Oil seeds,14,14,9,10-26-26
182,37,51,38,Black,Pulses,20,7,21,Urea
183,27,56,33,Sandy,Paddy,31,19,30,DAP
184,25,65,54,Sandy,Cotton,20,1,0,20-20
185,26,53,26,Black,Cotton,19,4,14,17-17-17
186,38,65,28,Black,Tobacco,41,1,26,10-26-26
187,32,60,42,Black,Paddy,35,5,36,14-35-14
188,28,57,51,Black,Barley,20,7,27,Urea
189,35,64,26,Clayey,Pulses,25,1,23,14-35-14
190,35,68,38,Loamy,Wheat,26,7,39,Urea
191,31,60,27,Black,Millets,35,15,20,14-35-14
192,26,50,27,Red,Millets,38,9,26,14-35-14
193,36,54,27,Sandy,Paddy,10,7,16,Urea
194,38,60,63,Sandy,Tobacco,29,8,28,17-17-17
195,38,72,47,Black,Barley,20,9,0,14-35-14
196,31,69,52,Clayey,Ground Nuts,12,11,9,10-26-26
197,25,62,51,Loamy,Sugarcane,29,13,25,17-17-17
198,28,54,31,Loamy,Oil seeds,22,2,32,20-20
199,28,71,64,Red,Millets,38,3,35,14-35-14
200,37,70,30,Clayey,Millets,33,17,23,17-17-17
201,37,57,38,Red,Paddy,12,17,41,DAP
202,38,50,28,Sandy,Paddy,33,14,41,28-28
203,33,67,58,Sandy,Ground Nuts,42,13,28,17-17-17
204,25,57,51,Clayey,Barley,33,8,8,20-20
205,33,58,33,Clayey,Maize,10,12,41,10-26-26
206,38,65,44,Sandy,Paddy,37,4,13,28-28
207,32,52,46,Sandy,Barley,12,0,36,17-17-17
208,36,55,46,Black,Pulses,29,1,11,17-17-17
209,26,65,33,Clayey,Tobacco,40,5,2,20-20
210,30,72,34,Sandy,Barley,42,9,18,20-20
211,26,51,45,Loamy,Oil seeds,30,16,17,20-20
212,25,66,37,Red,Sugarcane,38,8,3,10-26-26
213,36,55,36,Black,Ground Nuts,26,2,32,Urea
214,38,71,62,Loamy,Paddy,28,9,23,14-35-14
215,36,54,61,Red,Paddy,9,1,26,14-35-14
216,28,64,59,Loamy,Cotton,8,17,36,Urea
217,31,57,31,Sandy,Barley,31,1,2,10-26-26
218,28,57,34,Sandy,Ground Nuts,15,12,14,17-17-17
219,30,70,37,Loamy,Pulses,5,16,20,14-35-14
220,25,61,60,Black,Cotton,32,3,34,10-26-26
221,33,68,51,Sandy,Maize,9,4,17,14-35-14
222,25,59,48,Red,Pulses,8,13,22,17-17-17
223,32,58,54,Clayey,Oil seeds,26,7,31,28-28
224,27,63,37,Loamy,Millets,24,3,36,28-28
225,27,69,40,Sandy,Sugarcane,29,12,33,17-17-17
226,34,53,51,Loamy,Pulses,22,17,39,10-26-26
227,36,71,47,Black,Barley,12,11,28,10-26-26
228,32,68,35,Black,Maize,7,7,38,17-17-17
229,38,66,52,Sandy,Pulses,8,14,26,28-28
230,36,58,40,Black,Ground Nuts,18,1,5,20-20
231,34,63,41,Black,Oil seeds,12,4,29,28-28
232,34,65,29,Sandy,Millets,15,9,23,20-20
233,30,57,47,Loamy,Millets,34,10,0,Urea
234,29,62,65,Black,Ground Nuts,32,12,39,20-20
235,27,67,43,Black,Oil seeds,21,14,10,17-17-17
236,38,71,48,Loamy,Paddy,39,14,34,17-17-17
237,25,53,45,Sandy,Sugarcane,19,3,6,14-35-14
238,38,72,32,Clayey,Barley,39,7,27,14-35-14
239,38,68,60,Red,Sugarcane,13,1,18,10-26-26
240,30,69,44,Red,Sugarcane,5,3,37,28-28
241,36,51,44,Red,Paddy,19,7,24,Urea
242,29,53,60,Clayey,Ground Nuts,9,0,15,14-35-14
243,35,61,40,Sandy,Millets,14,10,37,28-28
244,26,69,55,Clayey,Sugarcane,25,16,21,17-17-17
245,30,62,43,Sandy,Paddy,35,14,5,28-28
246,35,52,53,Loamy,Pulses,8,7,28,10-26-26
247,38,72,33,Sandy,Oil seeds,19,4,34,20-20
248,38,59,36,Black,Wheat,28,11,21,20-20
249,34,69,31,Red,Barley,28,10,25,17-17-17
250,28,63,27,Loamy,Wheat,37,17,8,20-20
251,35,58,32,Loamy,Ground Nuts,25,1,37,DAP
252,34,64,45,Sandy,Cotton,31,19,11,DAP
253,31,64,30,Black,Millets,9,3,8,20-20
254,36,51,25,Loamy,Millets,21,16,30,14-35-14
255,30,69,46,Loamy,Maize,15,3,14,28-28
256,28,56,35,Sandy,Sugarcane,16,7,39,14-35-14
257,32,66,46,Clayey,Ground Nuts,14,15,34,DAP
258,34,72,35,Red,Wheat,8,16,18,20-20
259,25,52,56,Sandy,Ground Nuts,24,15,36,14-35-14
260,26,53,60,Clayey,Maize,14,18,16,10-26-26
261,29,62,61,Red,Millets,41,8,20,17-17-17
262,26,59,40,Red,Cotton,21,10,18,DAP
263,36,67,52,Black,Oil seeds,41,13,31,Urea
264,25,51,38,Sandy,Cotton,12,12,11,28-28
265,32,60,61,Clayey,Paddy,22,11,37,14-35-14
266,38,68,62,Clayey,Barley,9,1,34,28-28
267,25,60,52,Clayey,Pulses,8,18,36,10-26-26
268,37,58,41,Loamy,Tobacco,15,13,42,Urea
269,32,54,26,Sandy,Ground Nuts,8,15,15,28-28
270,28,72,52,Sandy,Pulses,8,12,13,28-28
271,35,68,35,Red,Cotton,14,15,35,Urea
272,30,66,61,Sandy,Maize,40,2,23,Urea
273,25,53,48,Red,Sugarcane,41,14,9,20-20
274,31,55,45,Loamy,Paddy,23,1,5,DAP
275,34,58,28,Red,Cotton,20,17,20,DAP
276,36,69,47,Black,Cotton,32,6,23,14-35-14
277,26,50,62,Clayey,Maize,14,11,33,14-35-14
278,38,58,56,Sandy,Tobacco,5,0,15,14-35-14
279,33,66,39,Black,Ground Nuts,15,17,23,DAP
280,25,63,28,Red,Tobacco,19,16,19,17-17-17
281,27,68,41,Black,Oil seeds,12,4,36,10-26-26
282,34,61,59,Red,Paddy,10,4,34,28-28
283,35,72,62,Loamy,Millets,21,15,23,10-26-26
284,33,60,30,Sandy,Tobacco,7,12,37,10-26-26
285,35,64,39,Red,Oil seeds,32,3,32,Urea
286,35,52,59,Loamy,Pulses,39,8,33,10-26-26
287,25,53,32,Black,Paddy,30,11,8,17-17-17
288,37,55,30,Black,Sugarcane,15,13,20,20-20
289,26,70,65,Clayey,Paddy,16,11,27,DAP
290,26,62,59,Loamy,Wheat,4,7,3,28-28
291,38,67,54,Loamy,Pulses,29,11,36,17-17-17
292,27,58,50,Black,Ground Nuts,16,12,23,17-17-17
293,30,68,41,Loamy,Sugarcane,25,7,18,10-26-26
294,27,55,48,Sandy,Barley,8,19,34,20-20
295,37,53,26,Loamy,Millets,4,11,14,28-28
296,28,55,40,Clayey,Pulses,25,16,19,10-26-26
297,25,67,33,Clayey,Oil seeds,21,3,42,10-26-26
298,32,59,65,Red,Millets,27,18,5,20-20
299,35,63,46,Black,Pulses,8,5,37,17-17-17
300,38,50,43,Black,Barley,14,14,16,17-17-17
301,32,60,31,Black,Sugarcane,34,14,24,20-20
302,26,68,32,Sandy,Barley,14,14,10,10-26-26
303,37,65,38,Red,Wheat,32,10,35,DAP
304,31,72,62,Clayey,Cotton,13,14,35,Urea
305,32,53,41,Clayey,Sugarcane,8,2,27,14-35-14
306,37,63,48,Red,Maize,35,8,14,DAP
307,35,51,58,Black,Maize,39,4,29,28-28
308,31,57,60,Red,Pulses,39,9,10,20-20
309,26,69,52,Loamy,Wheat,6,17,2,14-35-14
310,29,71,58,Clayey,Paddy,29,12,5,14-35-14
311,30,56,33,Clayey,Pulses,19,14,6,20-20
312,37,67,29,Loamy,Maize,12,4,39,Urea
313,36,71,46,Red,Maize,30,0,12,14-35-14
314,27,72,41,Black,Tobacco,20,4,30,DAP
315,29,69,33,Loamy,Tobacco,16,2,37,20-20
316,30,58,62,Black,Wheat,20,5,41,Urea
317,25,61,35,Black,Maize,5,12,30,10-26-26
318,32,69,54,Clayey,Millets,35,6,0,17-17-17
319,38,57,63,Clayey,Paddy,20,6,29,20-20
320,30,50,60,Clayey,Wheat,15,1,5,DAP
321,32,54,35,Red,Cotton,17,18,13,28-28
322,27,62,44,Red,Oil seeds,18,3,39,20-20
323,26,52,33,Black,Sugarcane,17,2,32,28-28
324,31,55,53,Red,Wheat,35,0,2,20-20
325,33,59,30,Sandy,Pulses,24,17,33,14-35-14
326,37,51,32,Black,Wheat,17,19,30,DAP
327,38,55,54,Red,Wheat,21,15,10,Urea
328,32,61,47,Red,Cotton,4,7,25,10-26-26
329,33,70,33,Sandy,Paddy,22,9,7,DAP
330,34,70,28,Loamy,Cotton,4,16,25,28-28
331,38,51,43,Loamy,Cotton,15,11,23,Urea
332,30,68,54,Red,Sugarcane,26,3,23,14-35-14
333,35,67,46,Red,Ground Nuts,10,5,13,Urea
334,25,65,65,Loamy,Tobacco,13,11,5,14-35-14
335,34,61,45,Red,Oil seeds,7,9,15,28-28
336,32,63,52,Sandy,Oil seeds,34,1,13,28-28
337,27,62,65,Clayey,Pulses,38,14,2,10-26-26
338,32,69,35,Clayey,Pulses,29,8,21,17-17-17
339,38,66,59,Black,Paddy,33,17,29,14-35-14
340,32,64,38,Sandy,Oil seeds,35,16,7,28-28
341,26,72,34,Black,Sugarcane,34,5,31,20-20
342,36,67,32,Black,Wheat,16,1,37,Urea
343,25,66,35,Black,Sugarcane,5,10,19,14-35-14
344,32,56,47,Loamy,Barley,28,13,11,28-28
345,35,52,50,Loamy,Tobacco,24,0,23,17-17-17
346,26,64,64,Black,Paddy,32,15,2,DAP
347,29,64,46,Loamy,Barley,17,12,4,28-28
348,33,67,55,Loamy,Pulses,23,19,10,17-17-17
349,38,65,58,Black,Millets,19,4,32,28-28
350,34,70,31,Red,Paddy,22,6,34,DAP
351,29,57,52,Clayey,Barley,6,1,12,10-26-26
352,25,67,52,Loamy,Pulses,38,0,12,10-26-26
353,25,68,60,Loamy,Cotton,16,8,24,17-17-17
354,36,62,49,Sandy,Tobacco,39,12,5,14-35-14
355,37,63,46,Sandy,Barley,6,5,28,20-20
356,28,68,44,Sandy,Barley,11,11,9,28-28
357,34,52,56,Black,Barley,37,5,33,28-28
358,27,68,61,Sandy,Maize,28,5,2,10-26-26
359,30,61,29,Red,Ground Nuts,11,3,9,17-17-17
360,30,65,28,Sandy,Tobacco,38,19,21,Urea
361,32,65,60,Loamy,Pulses,10,13,21,28-28
362,33,63,50,Black,Millets,37,17,15,DAP
363,27,50,39,Loamy,Wheat,22,11,23,17-17-17
364,25,53,57,Red,Pulses,37,16,31,DAP
365,29,59,52,Red,Barley,22,13,32,14-35-14
366,30,51,43,Loamy,Sugarcane,24,5,24,20-20
367,31,55,59,Clayey,Sugarcane,6,8,31,DAP
368,26,69,38,Sandy,Oil seeds,39,19,27,28-28
369,31,62,41,Loamy,Paddy,41,2,41,10-26-26
370,37,50,27,Loamy,Cotton,37,11,9,DAP
371,38,56,38,Loamy,Barley,42,19,31,17-17-17
372,29,66,58,Clayey,Oil seeds,35,7,38,10-26-26
373,30,71,31,Clayey,Pulses,23,5,38,20-20
374,34,62,42,Loamy,Paddy,42,17,21,10-26-26
375,31,65,59,Black,Maize,37,18,7,20-20
376,31,69,57,Black,Cotton,23,2,10,17-17-17
377,25,63,54,Black,Ground Nuts,27,18,13,10-26-26
378,26,52,43,Black,Maize,22,14,30,Urea
379,27,51,40,Sandy,Barley,24,0,24,20-20
380,35,53,29,Clayey,Paddy,25,7,29,17-17-17
381,36,55,52,Black,Oil seeds,35,0,8,DAP
382,34,64,28,Red,Ground Nuts,22,9,12,10-26-26
383,36,60,65,Black,Sugarcane,27,9,6,14-35-14
384,30,60,38,Red,Paddy,25,4,17,Urea
385,34,53,60,Clayey,Pulses,4,5,38,14-35-14
386,29,61,42,Red,Millets,40,2,9,20-20
387,35,62,65,Sandy,Millets,7,10,41,10-26-26
388,37,69,32,Red,Paddy,31,2,10,DAP
389,30,55,45,Black,Ground Nuts,19,2,14,10-26-26
390,27,63,65,Red,Tobacco,19,16,0,17-17-17
391,27,51,25,Loamy,Oil seeds,35,17,1,DAP
392,25,65,29,Loamy,Pulses,18,4,35,Urea
393,30,72,63,Loamy,Cotton,16,1,18,10-26-26
394,25,67,60,Loamy,Maize,42,12,29,28-28
395,33,60,65,Loamy,Paddy,7,16,12,14-35-14
396,30,64,28,Sandy,Barley,32,0,1,Urea
397,30,52,40,Clayey,Pulses,14,8,21,10-26-26
398,34,64,33,Sandy,Wheat,21,8,15,20-20
399,33,63,39,Red,Cotton,31,17,34,14-35-14
400,36,65,60,Clayey,Cotton,29,14,33,10-26-26
401,27,57,44,Loamy,Tobacco,34,3,10,20-20
402,38,65,47,Loamy,Millets,20,8,37,10-26-26
403,31,70,39,Clayey,Millets,32,16,24,28-28
404,31,58,64,Sandy,Millets,35,19,14,10-26-26
405,27,66,57,Sandy,Tobacco,34,6,5,20-20
406,33,67,38,Clayey,Ground Nuts,29,16,21,20-20
407,28,69,52,Black,Oil seeds,26,2,23,17-17-17
408,32,60,29,Sandy,Ground Nuts,13,3,4,14-35-14
409,29,50,65,Sandy,Ground Nuts,7,17,33,14-35-14
410,25,69,43,Sandy,Maize,24,16,8,Urea
411,27,51,25,Clayey,Millets,18,0,15,17-17-17
412,32,50,63,Sandy,Millets,30,3,4,DAP
413,35,64,64,Loamy,Oil seeds,11,12,2,Urea
414,31,62,45,Loamy,Ground Nuts,32,15,26,17-17-17
415,29,55,34,Sandy,Sugarcane,37,0,35,10-26-26
416,36,65,26,Clayey,Barley,6,6,27,10-26-26
417,34,51,45,Loamy,Cotton,25,14,39,28-28
418,26,55,37,Black,Wheat,26,9,42,Urea
419,30,59,64,Clayey,Cotton,24,18,22,20-20
420,32,53,63,Black,Paddy,42,19,37,14-35-14
421,29,72,57,Sandy,Tobacco,20,14,35,DAP
422,34,67,46,Clayey,Maize,16,11,1,17-17-17
423,35,67,42,Loamy,Paddy,13,9,39,14-35-14
424,28,62,56,Loamy,Sugarcane,28,7,10,17-17-17
425,28,54,28,Clayey,Millets,27,4,15,28-28
426,29,61,65,Sandy,Cotton,22,5,17,20-20
427,36,55,38,Red,Paddy,8,6,31,17-17-17
428,28,51,26,Red,Wheat,25,2,19,20-20
429,34,60,33,Clayey,Cotton,12,3,33,10-26-26
430,38,72,33,Red,Cotton,33,0,37,DAP
431,29,67,57,Sandy,Ground Nuts,13,1,28,20-20
432,33,51,30,Black,Sugarcane,12,7,24,Urea
433,31,65,43,Loamy,Millets,31,10,5,10-26-26
434,34,65,28,Clayey,Barley,5,16,4,Urea
435,26,68,26,Loamy,Tobacco,5,3,14,28-28
436,27,52,49,Loamy,Paddy,28,17,4,17-17-17
437,32,71,48,Black,Cotton,18,8,36,20-20
438,33,66,43,Sandy,Maize,30,8,14,10-26-26
439,27,68,59,Clayey,Millets,18,12,25,10-26-26
440,25,62,45,Sandy,Pulses,19,19,17,10-26-26
441,36,71,46,Red,Millets,40,11,24,20-20
442,29,55,44,Black,Oil seeds,9,16,3,14-35-14
443,27,53,32,Loamy,Tobacco,7,16,13,Urea
444,38,55,60,Sandy,Millets,15,17,35,14-35-14
445,29,52,55,Loamy,Sugarcane,19,11,14,17-17-17
446,36,61,44,Black,Sugarcane,14,4,21,28-28
447,28,67,37,Red,Wheat,21,13,14,17-17-17
448,32,70,30,Sandy,Cotton,6,5,40,DAP
449,37,59,53,Sandy,Paddy,30,9,29,28-28
450,34,62,29,Loamy,Cotton,41,0,16,DAP
451,30,70,51,Black,Maize,8,17,34,Urea
452,26,70,50,Sandy,Millets,22,15,42,DAP
453,29,66,41,Sandy,Maize,17,2,20,Urea
454,28,50,58,Sandy,Sugarcane,19,4,12,10-26-26
455,37,61,59,Sandy,Oil seeds,34,11,25,10-26-26
456,37,72,36,Red,Wheat,21,3,27,DAP
457,34,66,61,Loamy,Cotton,26,15,18,14-35-14
458,27,62,39,Sandy,Millets,5,3,14,10-26-26
459,38,65,62,Sandy,Barley,33,6,15,17-17-17
460,35,53,29,Red,Sugarcane,16,18,2,14-35-14
461,34,69,40,Red,Millets,42,16,24,28-28
462,32,54,36,Red,Sugarcane,6,14,0,17-17-17
463,31,51,41,Sandy,Barley,38,2,19,14-35-14
464,33,57,28,Clayey,Cotton,14,8,2,10-26-26
465,37,69,38,Red,Maize,27,4,42,14-35-14
466,33,68,28,Black,Cotton,16,10,3,17-17-17
467,30,55,57,Black,Ground Nuts,25,3,25,14-35-14
468,30,65,43,Loamy,Maize,25,14,38,DAP
469,25,54,33,Loamy,Cotton,21,18,15,DAP
470,37,60,36,Clayey,Maize,23,13,4,28-28
471,30,53,29,Loamy,Wheat,41,4,35,14-35-14
472,31,58,49,Loamy,Maize,32,5,40,DAP
473,30,68,49,Clayey,Ground Nuts,6,4,39,14-35-14
474,26,62,38,Sandy,Oil seeds,7,18,1,10-26-26
475,35,72,25,Clayey,Wheat,24,2,32,14-35-14
476,38,70,37,Sandy,Cotton,19,4,20,10-26-26
477,37,64,26,Sandy,Sugarcane,22,13,13,10-26-26
478,27,71,32,Red,Pulses,23,17,26,17-17-17
479,26,65,25,Black,Sugarcane,4,3,22,DAP
480,31,71,42,Red,Wheat,32,3,4,14-35-14
481,26,50,59,Clayey,Sugarcane,11,17,8,28-28
482,29,53,29,Loamy,Maize,29,19,5,DAP
483,29,66,55,Sandy,Millets,36,12,39,14-35-14
